day infected_proportion
0 0.000603269
1 0.00189207
2 0.003180871
3 0.00400351
4 0.007458594
5 0.010420094
6 0.013765493
7 0.013573544
8 0.01475266
9 0.019743337
10 0.025282439
11 0.029176264
12 0.030218274
13 0.035702534
14 0.03449600
15 0.029450477
16 0.021937041
17 0.024350115
18 0.026379291
19 0.023527476
20 0.024569486
21 0.024788856
22 0.023746847
23 0.01776900
24 0.012558956
25 0.010420094
26 0.010200724
27 0.01096852
28 0.010913678
29 0.00800702
30 0.006581112
31 0.006581112
32 0.006416584
33 0.005539103
34 0.005703631
35 0.005429418
36 0.005374575
37 0.004113195
38 0.003126028
39 0.003126028
40 0.003619612
